Sgnyea,Prvcnm,Gdp,Gdp1,Gdp2,Gdp3
2013,甘肃省,6268.01,879.37,2821.04,2567.6
2012,甘肃省,5650.2,780.5,2600.09,2269.61
2011,甘肃省,5020.37,678.75,2377.83,1963.79
2010,甘肃省,4120.75,599.28,1984.97,1536.5
2009,甘肃省,3387.56,497.05,1527.24,1363.27
2008,甘肃省,3166.82,463,1471.43,1241.68
2007,甘肃省,2702.4,385.97,1279.32,1037.11
2006,甘肃省,2276.7,333.35,1043.19,900.16
2005,甘肃省,1933.98,308.06,838.56,787.36
2004,甘肃省,1688.49,281.4,758.18,519.35
2003,甘肃省,1399.83,236.61,607.62,460.37
2002,甘肃省,1232.0302,214.45,530.36,416.62
2001,甘肃省,1125.3728,207.05,481.07,384.39
2000,甘肃省,983.36,193.36,439.88,350.12
1999,甘肃省,931.98,191.21,423.79,316.98
1998,甘肃省,869.75,202.21,382,285.54
1997,甘肃省,781.34,189.79,343.4,248.15
1996,甘肃省,714.18,187.81,314.96,211.41
1995,甘肃省,553.35,110.65,256.83,190.28
1994,甘肃省,451.66,103.81,199.32,148.53
1993,甘肃省,372.24,87.43,159.96,124.85
1992,甘肃省,317.79,74.2,128.66,114.93
1991,甘肃省,271.39,66.55,111.91,92.93
1990,甘肃省,242.8,64.06,98.33,80.41
1989,甘肃省,216.84,59.01,91.79,66.04
1988,甘肃省,191.84,52.77,81.33,57.74
1987,甘肃省,159.52,45.27,68.4,45.85
1986,甘肃省,140.74,38.02,65.27,37.45
1985,甘肃省,123.39,33.08,58.81,31.5
1984,甘肃省,103.17,27.83,49.98,25.36
1983,甘肃省,91.5,27.65,42.92,20.93
1982,甘肃省,76.88,19.68,38.54,18.66
1981,甘肃省,70.89,17.63,35.3,17.96
1980,甘肃省,73.9,16.46,39.85,17.59
1979,甘肃省,67.51,12.89,40.98,13.64
1978,甘肃省,64.73,13.21,39.04,12.48
1977,甘肃省,58.72,13.51,35.28,9.93
1976,甘肃省,56.45,13.55,34.43,8.47
1975,甘肃省,57.37,14.34,33.85,9.18
1974,甘肃省,49.59,13.39,28.27,7.93
1973,甘肃省,43.85,10.96,25.43,7.46
1972,甘肃省,41.17,9.88,24.7,6.59
1971,甘肃省,37.87,8.33,24.62,4.92
1970,甘肃省,34.5,8.28,21.05,5.17
1969,甘肃省,27.28,7.91,15,4.37
1968,甘肃省,23.37,7.95,11.7,3.72
1967,甘肃省,23.08,6.77,11.92,4.39
1966,甘肃省,24.23,6.78,13.08,4.37
1965,甘肃省,24.98,7.74,12.74,4.5
1964,甘肃省,19.66,6.88,8.65,4.13
1963,甘肃省,16.25,6.66,5.85,3.74
1962,甘肃省,12.57,5.15,3.9,3.52
1961,甘肃省,11.75,4.7,3.76,3.29
1960,甘肃省,17.82,4.57,8.91,4.34
1959,甘肃省,23.73,7.59,10.21,5.93
1958,甘肃省,22.81,9.26,8.07,5.48
1957,甘肃省,20.11,9.65,5.63,4.83
1956,甘肃省,21.17,11.22,5.08,4.87
1955,甘肃省,17.82,10.51,3.75,3.56
1954,甘肃省,16.3,10.43,2.44,3.43
1953,甘肃省,13.86,8.87,1.8,3.19
1952,甘肃省,13.32,8.66,1.73,2.93
2013,青海省,2101.05,207.59,1204.31,689.15
2012,青海省,1893.54,176.91,1092.34,624.29
2011,青海省,1670.44,155.08,975.18,540.18
2010,青海省,1350.43,134.92,744.63,470.88
2009,青海省,1081.27,107.4,575.33,398.54
2008,青海省,1018.62,105.58,529.4,326.55
2007,青海省,797.35,83.41,417.78,282.42
2006,青海省,648.5,69.64,331.16,240.78
2005,青海省,543.32,65.34,264.61,213.37
2004,青海省,466.1,57.81,227.06,180.86
2003,青海省,390.2,46.15,184.26,159.8
2002,青海省,340.65,44.9,154.01,142.2
2001,青海省,300.13,42.79,132.18,125.98
2000,青海省,263.59,38.53,114,111.06
1999,青海省,238.39,40.54,97.88,99.97
1998,青海省,220.16,41.63,88.42,90.11
1997,青海省,202.05,40.65,78.8,82.6
1996,青海省,183.57,39.46,71.52,72.59
1995,青海省,165.31,39.62,64.58,63.6
1994,青海省,138.24,31.71,58.35,48.18
1993,青海省,109.62,22.21,48.13,39.34
1992,青海省,87.52,19.9,36.31,31.31
1991,青海省,75.1,17.96,29.84,27.3
1990,青海省,69.94,17.67,26.89,25.38
1989,青海省,60.37,15.73,25.29,19.35
1988,青海省,54.96,14.36,23.3,17.3
1987,青海省,43.38,11.74,16.61,15.03
1986,青海省,38.44,10.47,15.4,12.57
1985,青海省,33.01,8.64,13.39,10.98
1984,青海省,26.42,7.35,10.15,8.92
1983,青海省,22.45,5.9,8.98,7.57
1982,青海省,19.95,5.56,8.03,6.36
1981,青海省,17.49,4.63,7.23,5.63
1980,青海省,17.79,5,7.83,4.96
1979,青海省,15.19,3.97,7.44,3.78
