year,name,value,gdp01,gdp02,gdp03
2013,北京,93213,161.83,4352.3,14986.43
2012,北京,87475,150.2,4059.27,13669.93
2011,北京,81658,136.27,3752.48,12363.18
2010,北京,75943,124.36,3388.38,10600.84
2009,北京,70452,118.29,2855.55,9179.19
2008,北京,63029,112.81,2693.15,7682.07
2007,北京,58204,101.26,2509.4,6742.66
2006,北京,50467,98.04,2191.43,5580.81
2005,北京,45443.6929,97.99,2026.51,4761.81
2004,北京,37058,102.9,1610.37,2570.04
2003,北京,32061,95.64,1311.86,2255.6
2002,北京,28449,98.05,1116.53,1998.13
2001,北京,25523,93.08,1030.6,1721.97
2000,北京,22459.6566,89.97,943.51,1445.28
1999,北京,19846.3013,87.48,840.23,1246.75
1998,北京,19118,86.56,786.85,1137.9
1997,北京,16735,84.85,738.56,986.68
1996,北京,14254,83.46,683.14,849.13
1995,北京,12690,72.16,645.81,789.72
1994,北京,10240,74.77,499.84,509.42
1993,北京,8006,53.14,419.56,413.51
1992,北京,6458,48.67,345.91,314.52
1991,北京,5494,45.52,291.53,261.84
1990,北京,4635,43.88,262.39,194.55
1989,北京,4269,38.53,252.23,165.2
1988,北京,3892,37.07,221.27,151.88
1987,北京,3150,24.31,182.59,119.92
1986,北京,2836,19.14,165.75,99.97
1985,北京,2643,17.81,153.66,85.65
1984,北京,2262,14.85,130.68,71.08
1983,北京,1943,12.85,112.65,57.63
1982,北京,1671,10.34,99.79,44.81
1981,北京,1526,6.61,92.52,40.02
1980,北京,1544,6.07,95.79,37.21
1979,北京,1358,5.17,85.18,29.76
1978,北京,1257,5.63,77.43,25.78
1977,北京,1189,5.17,67.26,26.66
1976,北京,1137,5.58,63.59,24.67
1975,北京,1115,6.04,60.5,24.71
1974,北京,990,5.6,56.38,18.21
1973,北京,914,6.03,50.45,16.55
1972,北京,853,5.37,47.01,14.81
1971,北京,787,6.28,41.91,12.95
1970,北京,824,6.48,45.06,11.83
1969,北京,654,4.71,33.6,12.32
1968,北京,484,5.48,22.13,10.21
1967,北京,488,5.3,22.37,10.19
1966,北京,575,5.24,28.41,10.76
1965,北京,516,4.96,23.5,11.33
1964,北京,476,4.83,20.96,10.2
1963,北京,431,4.12,18.23,9.37
1962,北京,410,3.74,16.3,9.55
1961,北京,503,3.74,20.42,12.39
1960,北京,812,4.01,37.03,16.43
1959,北京,703,3.96,28.69,13.63
1958,北京,552,3.93,20.35,10.24
1957,北京,539,3.49,15.68,13.64
1956,北京,465,3.32,11.39,12.12
1955,北京,436,3.44,10.07,10.37
1954,北京,405,3.01,9.31,8.81
1953,北京,394,3.37,7.85,8.06
1952,北京,170,1.75,3.05,3.08
2013,天津,99607,188.45,7276.68,6905.03
2012,天津,93173,171.6,6663.82,6058.46
2011,天津,85213,159.72,5928.32,5219.24
2010,天津,72994,145.58,4840.23,4238.65
2009,天津,62574,128.85,3987.84,3405.16
2008,天津,55473,122.58,3821.07,2410.73
2007,天津,46122,110.19,2892.53,2047.68
2006,天津,41163,118.23,2488.29,1752.63
2005,天津,35783.1885,112.38,2051.17,1534.07
2004,天津,31550,102.29,1560.16,1269.43
2003,天津,26532.0369,89.66,1245.29,1112.71
2002,天津,22380,84,1001.9,965.26
2001,天津,20154.4359,78.55,904.64,856.91
2000,天津,17993.195,73.54,820.17,745.65
1999,天津,15976.334,71.01,711.93,667.12
1998,天津,14243,74.03,660,602.35
1997,天津,13796,74.55,643.88,521.97
1996,天津,11734,70.53,584.43,447.44
1995,天津,9769,60.8,518.55,352.62
1994,天津,7751,46.53,404.08,274.53
1993,天津,5800,35.4,308.4,195.14
1992,天津,4481,30.26,233.41,147.37
1991,天津,3777,29.26,196.6,116.79
1990,天津,3487,27.32,181.38,102.25
1989,天津,3261,26.85,177.54,79.1
1988,天津,3035,26.21,160.96,72.54
1987,天津,2621,19.63,138.02,62.47
1986,天津,2352,16.51,123.33,54.9
1985,天津,2169,12.95,114.92,47.91
1984,天津,1853,11.13,96.47,39.93
1983,天津,1555,7.6,84.47,31.35
1982,天津,1469,7,79.86,27.25
1981,天津,1458,5.18,76.97,25.81
1980,天津,1357,6.53,72.56,24.44
1979,天津,1241,6.54,64.82,21.65
1978,天津,1133,5.03,57.53,20.09
1977,天津,961,3.56,46.97,17.2
1976,天津,928,4.01,45.57,15.67
1975,天津,1011,4.37,50.29,15.07
1974,天津,977,4.79,46.81,15.09
1973,天津,893,3.92,42.51,13.9
1972,天津,849,3.46,40.53,12.38
1971,天津,843,3.89,39.52,11.71
1970,天津,791,3.8,35.8,11.39
1969,天津,661,3.46,29.03,10.38
1968,天津,535,3.6,21.26,9.91
1967,天津,524,3.5,20.93,9.19
1966,天津,618,2.69,26.87,9.75
1965,天津,571,3.91,22.96,9.09
1964,天津,494,2.3,20.08,8.21
1963,天津,442,2.27,16.2,8.18
1962,天津,414,2.12,14.08,8.05
1961,天津,489,2.52,16.56,9.33
1960,天津,746,2.65,29.65,10.36
1959,天津,744,2.8,29.1,9.35
1958,天津,607,2.28,22.21,8
1957,天津,468,2.49,13.28,8.34
1956,天津,419,2.26,10.83,7.61
1955,天津,357,2.35,9.16,5.61
1954,天津,364,1.79,8.93,6.26
1953,天津,393,1.76,8.49,7.33
1952,天津,299,1.85,6.31,4.64
2013,河北,38716,3500.42,14762.1,10038.89
2012,河北,36584,3186.66,14003.57,9384.78
2011,河北,33969,2905.73,13126.86,8483.17
2010,河北,28668,2562.81,10707.68,7123.77
2009,河北,24581,2207.34,8959.83,6068.31
2008,河北,23239,2034.6,8777.42,5376.59
2007,河北,19877,1804.72,7241.8,4662.98
2006,河北,16962,1606.48,6115.01,3938.94
2005,河北,14782.2597,1503.07,5232.5,3360.54
2004,河北,12918,1370.4,4635.23,2763.16
2003,河北,10513.239,1064.33,3657.19,2377.04
2002,河北,9115,957.01,3046,2119.52
